imageid,imageType,model,loss,classType,colorMode,clean,crop,resize,colorCorrect,baseTrain,activation,wloss,lr,learningDecay,earlyStop,epochsMax,epochs,voting," trainTime"," accuracy"
60,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,10,77.76588463600012,77
61,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,97,10,49.21881698700008,47
62,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,105,10,52.05733541900008,57
63,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,111,10,56.488030464000076,61
64,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,150,10,76.90321909999989,55
65,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,0,78.77221997800007,77
66,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,107,0,53.716770017999806,58
67,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,111,0,53.316238634,57
68,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,0,99.10771446099989,55
69,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,106,0,54.49873969100008,55
70,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,151,30,78.91452257000037,72
71,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,112,30,56.83599690400024,58
72,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,98,30,48.07613475299968,68
73,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,200,30,99.5952664639999,61
74,CV-R,xception,focal,multiclass,RGB,True,True,True,False,False,siren,True,0.001,False,True,200,167,30,84.3613869289984,50
75,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,110,30,61.532477227001436,66
76,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,149,30,75.30031194100047,64
77,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,125,30,60.04691187999924,52
78,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,100,30,56.017920801999935,61
79,CV-R,inception,focal,multiclass,RGB,True,True,True,False,False,relu,True,0.001,False,True,200,163,30,84.42483272199934,55
80,ALL,vgg16,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,184.405072638001,77
81,ALL,vgg16,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,182.72023484000238,77
82,ALL,vgg16,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,136,0,124.84517349299858,69
83,ALL,vgg16,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,183.18366981500003,77
84,ALL,vgg19,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,148,0,140.41435457199987,69
85,ALL,vgg19,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,188.11630677100038,63
86,ALL,vgg19,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,187.49024823299987,75
87,ALL,vgg19,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,121,0,115.45268037400092,66
88,ALL,inception,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,192.3866895789979,77
89,ALL,inception,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,198,0,186.68328382400068,83
90,ALL,inception,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,140,0,133.50701388499874,83
91,ALL,inception,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,115,0,112.62673224200262,83
92,ALL,xception,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,187,0,176.456959076997,86
93,ALL,xception,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,184.42619751000166,86
94,ALL,xception,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,186.33179885600111,83
95,ALL,xception,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,186.8782971249966,83
96,ALL,resnet50,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,186.97932268000295,80
97,ALL,resnet50,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,187.04786958800105,75
98,ALL,resnet50,focal,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,183.77785312200285,72
99,ALL,resnet50,kld,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,196,0,183.11835142500058,88
100,ALL,resnet101,bce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,158,0,166.3367524310015,77
101,ALL,resnet101,cce,multiclass,RGB,False,False,True,False,False,relu,False,0.001,False,True,200,200,0,201.39592110399826,72
